complaint_id,category,sub_category,complaint_text,resolution,agent_assigned,escalated,resolution_time_hours,satisfaction_score
C001,billing,double_charge,"I was charged $19.99 twice for my premium subscription on March 15th. My order number is #TM-2024-8821. Please refund the duplicate charge immediately.","Duplicate charge confirmed and refunded. Refund processed to original payment method within 5 business days.",billing,False,4,5
C002,technical,login_issue,"I cannot log into my TechMart account since yesterday. I've tried resetting my password three times but the reset emails are not arriving in my inbox.","Password reset emails were going to spam folder. Guided customer to whitelist techmart.com. Account access restored.",technical,False,1,4
C003,billing,refund_not_received,"I returned my laptop 12 days ago and was told the refund would take 5-10 business days. It has now been 12 days and I still haven't received anything. Order #TM-2024-5502.","Refund was processed but delayed by bank. Escalated to finance team. Customer received refund on day 14.",billing,True,48,3
C004,product,defective_item,"The TechMart SmartWatch S3 I purchased last week stopped charging after just 5 days. The battery won't charge past 2% regardless of which cable I use.","Defect confirmed under warranty. Replacement unit shipped. Customer received replacement in 3 days.",product,False,24,5
C005,complaint,delivery,"My order was supposed to arrive 3 days ago (Order #TM-2024-9901). Tracking shows it has been stuck in a distribution center for 4 days with no updates.","Carrier issue identified. Replacement order shipped with overnight delivery at no charge. Original order recovered.",complaint,True,12,4
C006,technical,app_crash,"The TechMart desktop app crashes every time I try to open the settings menu. I'm running Windows 11 and have the latest version installed.","Bug identified in settings module for Windows 11. Workaround provided. Permanent fix deployed in v2.3.1.",technical,False,8,4
C007,billing,unauthorized_charge,"I noticed a charge of $49.99 on my credit card from TechMart but I never signed up for the business plan. This is fraudulent. Order ID unknown.","Charge was from an old account the customer forgot about. Account closed and full refund issued. Security review completed.",billing,True,6,3
C008,complaint,service_quality,"I've contacted support 4 times about the same issue and each time I have to explain everything from scratch. Your agents don't read previous conversations.","Apologized for poor continuity. Escalated to senior agent who resolved issue. Internal process improvement noted.",complaint,True,2,2
C009,product,wrong_item,"I ordered the TechMart Pro X1 laptop but received the Lite L3 model instead. The box even says Pro X1 on it but the actual device inside is different.","Pick-and-pack error confirmed. Correct Pro X1 shipped immediately with overnight delivery. Return label included for Lite L3.",product,False,6,5
C010,technical,data_loss,"After updating the TechMart software to v2.3.0, all my saved preferences and project files disappeared. I have 6 months of work in those files.","Update migration bug confirmed. Data recovery tool sent to customer. 95% of files recovered. Engineering team notified.",technical,True,24,3
C011,billing,subscription_issue,"I cancelled my premium subscription last month but I was still charged this month. I have the cancellation confirmation email.","Cancellation processing error found. Charge reversed immediately. One free month added as compensation.",billing,False,2,5
C012,complaint,product_quality,"The build quality of the TechMart Wireless Hub is terrible. The plastic casing cracked after normal use within just 2 months. This is not acceptable for a $149 product.","Quality issue escalated to product team. Replacement with upgraded model sent. Customer feedback logged for quality review.",complaint,True,4,4
C013,technical,connectivity,"My TechMart Wireless Hub drops connection every 30 minutes exactly. I've tried changing channels, resetting the device, and updating firmware but nothing works.","Firmware bug identified causing periodic resets. Beta firmware patch sent. Issue resolved completely.",technical,False,12,5
C014,billing,pricing_error,"Your website showed the TechMart Earbuds Pro at $99 during checkout but I was charged $129. I have a screenshot of the promotional price.","Price discrepancy confirmed as expired promotion displayed due to caching error. Difference of $30 refunded.",billing,False,3,4
C015,complaint,escalation,"I am extremely frustrated. I have been dealing with a broken product for 3 weeks, contacted support 6 times, and nothing has been resolved. I want to speak to a senior manager immediately.","Escalated to Customer Experience Manager. Personal call made within 2 hours. Full refund + 50% discount on next purchase offered.",complaint,True,2,4
C016,technical,installation,"The TechMart Suite software fails to install on my MacBook Pro M2. I get error code TM-INSTALL-4521 during the final installation step.","M2 compatibility issue in installer identified. Special M2-compatible build sent directly. Installation successful.",technical,False,8,5
C017,billing,invoice_request,"I need an official invoice for my business purchase of 5 TechMart Pro X1 laptops (Order #TM-2024-3310) for tax purposes. Please send ASAP.","Official GST invoice generated and emailed within 1 hour. Business account created for future bulk orders.",billing,False,1,5
C018,product,availability,"The TechMart SmartWatch S3 has been listed as out of stock for 3 months. When will it be available? I need it urgently as a gift.","Informed customer of Q3 restock. Added to priority waitlist. Offered SmartWatch S2 as alternative at 20% discount.",product,False,1,4
C019,complaint,rude_agent,"The support agent I spoke with yesterday (ticket #5521) was dismissive and rude when I tried to explain my billing issue. This is completely unprofessional.","Incident reviewed. Agent coached. Formal apology sent. Customer's billing issue resolved with priority handling.",complaint,True,4,3
C020,technical,performance,"The TechMart Suite software takes 8-10 minutes to open on my computer. It used to open in under 30 seconds. Nothing else has changed on my system.","Database corruption detected in local cache. Cache cleared and optimized. Software now opens in 15 seconds.",technical,False,6,5
C021,billing,payment_failed,"My payment keeps failing even though my card is valid and has sufficient funds. I've tried 3 different cards and they all fail at checkout.","Bank fraud detection was flagging TechMart as suspicious. Customer contacted bank. Alternative PayPal payment accepted.",billing,False,3,4
C022,product,compatibility,"Does the TechMart Wireless Hub work with the TechMart Pro X1 laptop? I want to make sure before I buy both.","Confirmed full compatibility. Provided setup guide. Offered bundle discount of 15% for purchasing both together.",product,False,1,5
